State,Element,Notes,Value,Units,BegDate,EndDate,Location,Station ID,Status
Texas,All-Time Minimum Temperature,-23,degrees F,18990212,18990212,TULIA NEAR,419176,SA1,"Historical value at Tulia 6NE became available upon digitization and update of previously paper-bound data. It was examined retroactively, found, to be valid and tied the prior stated record."
Texas,All-Time Minimum Temperature,-23,degrees F,19330208,19330208,SEMINOLE,418201,E1,
Utah,All-Time Minimum Temperature,-50,degrees F,19130105,19130105,EAST PORTAL,422319,NA,"The previously reported record of -69 degrees F set at Peter's Sink on Feb 1, 1985 is widely considered an accurate observation, but no information concerning the observation or the station could be identified, and the value is heavily affected by the local terrain. The -50 degrees F at Strawberry Tunnel is the coldest temperature observation that can be verified from publicly available observations at established observation stations in Utah."
Vermont,All-Time Minimum Temperature,-50,degrees F,19331230,19331230,BLOOMFIELD,430690,E,The -50 degrees F minimum temperature ties with values from NH and ME as the all-time coldest temperature for the Northeast region of the United States.
Virgin Islands (U.S.),All-Time Minimum Temperature,51,degrees F,19540131,19540131,ANNAS HOPE,670260,NA,
Virginia,All-Time Minimum Temperature,-30,degrees F,19850121,19850121,MOUNT LAKE BIOL STN,445828,E,The date for the existing record of -30 degrees F at Mountain Lake Biological Station was incorrect by one day. Date listed is the correct observation date.
Washington,All-Time Minimum Temperature,-48,degrees F,19681230,19681230,WINTHROP 1 WSW,459376,E2,
West Virginia,All-Time Minimum Temperature,-37,degrees F,19171230,19171230,LEWISBURG 3 N,465224,E,
Wisconsin,All-Time Minimum Temperature,-55,degrees F,19960202,19960202,COUDERAY 7 W,471847,E1,
Wisconsin,All-Time Minimum Temperature,-55,degrees F,19960204,19960204,COUDERAY 7 W,471847,E1,
Wyoming,All-Time Minimum Temperature,-66,degrees F,19330209,19330209,Riverside Ranger Stn. (Yellowstone NP),,EA,"Original observation of -66 degrees F at Riverside Ranger Station on February 9, 1933 is maintained in Department of Interior archives."
