"cluster"	"Excitatory.neuron"	"Inhibitory.neuron"	"Oligodendrocyte"	"Astrocyte"	"Microglia"	"Oligodendrocyte.precursor"	"Endothelial.cell"
"0"	0	3.39036409854626	0.868709193520191	1.19752169984773	1.78292007417816	0.152569183916431	1.09910082007858	0.165852842577788
"1"	1	0.935874924569615	0.705455717908115	16.6328441206603	1.35327454551545	0.0491169493806971	1.21503548949503	0.0611782103147293
"2"	2	4.31529785464031	0.133910502866069	0.477109059734831	0.549827959863204	0.0384760958402771	0.194829752353927	0.143706612204715
"3"	3	4.16271865829455	0.145509120748264	0.568109426379136	0.596820592532005	0.0790002485224817	0.31599485867868	0.10583387623315
"4"	4	0.770578906091404	1.63909999880213	1.29110637092597	26.0230913789887	0.142017643847367	0.743285669779853	0.144726955934123
"5"	5	0.66172918654733	0.744575518518627	20.9593468994788	1.55293312385605	0.023910092410972	1.33725266236034	0.0704221705309935
"6"	6	3.08610632475918	4.76777610923336	0.642939850944764	0.584134329139456	0.119003204507638	4.21008518741013	0.141510393648764
"7"	7	2.831981345278	6.67056500756324	0.795999369449105	0.742815774770714	0.146950178134605	1.2939297169936	0.417689788123303
"8"	8	2.81932520268816	4.55619757191239	0.653244772053001	0.789580741514826	0.143632090386466	0.527248245376959	0.190525575834672
"9"	9	4.33449374893633	0.212636331470668	0.482600639927711	0.369047139163943	0.0404863874864777	0.232907007790317	0.603245583867002
"10"	10	1.09132040073971	1.48603662914757	1.78226835749701	1.96915361781842	0.0875381261672847	19.8278606565191	0.112926660812282
"11"	11	4.07923100431804	0.181633848237848	0.715506940250037	0.610933512367738	0.126098866160033	0.631129629133344	0.156303667627402
"12"	12	4.87787303865221	0.191523254333298	0.637077123261043	0.408529262064071	0.087948561715308	0.371378226167808	0.0349573795058463
"13"	13	3.51460089888835	0.193950779654971	0.683930499976569	1.16802145185653	0.0081775509870304	1.21040281260039	0.0048900879384514
"14"	14	2.89106414975738	7.46667792123068	0.755184122459868	0.673573108886273	0.157036727903461	1.66353864123879	0.0817929143012009
"15"	15	5.22179896631904	0.265464090542342	0.518269146994708	0.965866632363896	0.0394304120082387	1.2673450826119	0.0655275069712735
"16"	16	3.00490091858626	13.5431680874682	0.722009316340037	0.573923035828267	0.0822733260373906	0.705506836149805	0.200630979284654
"17"	17	1.32113748116475	0.400491836673025	5.12185433096333	1.6893455383783	10.8736594372164	0.726156032932896	0.245834576476089
"18"	18	5.72298579144165	0.796045014527653	1.23011213738349	1.0588383131674	0.154473469753378	0.529103806351419	0.331698061156025
"19"	19	4.83748523636605	0.176117823821657	0.514385227791085	0.500002435454179	0.167621336401097	0.0355783256839933	0.621319480554261
"20"	20	4.50154393502177	0.135937219276796	0.395431867109438	0.405815106447149	0.0283959745156627	0.15454401488412	0.0979443593559176
"21"	21	3.37321341337521	0.203299494550412	0.618394929409951	1.11149191510431	0	0.892294045940535	0.00902963073325117
"22"	21	0.794758348840838	5.02261172131367	1.85142334315077	1.60507688173898	0.27969791976091	0.524819928386955	8.28075548000767
