,Event,Date,Result,Opponent,Magnus Color,a pawn,b pawn,c pawn,d pawn,e pawn,f pawn,g pawn,h pawn,queen-side rook,queen-side knight,queen-side bishop,queen,king,king-side bishop,king-side knight,king-side rook
25,Classics IMA,2001.04.21,1/2-1/2,"Lahlum,H",White,1.0,2.0,3.82842712474619,2.0,4.414213562373095,2.8284271247461903,3.0,2.0,14.0,11.180339887498949,2.8284271247461903,4.414213562373095,7.242640687119285,18.38477631085024,4.47213595499958,2.0
26,Classics IMA,2001.04.22,1/2-1/2,"Kvisvik,B",Black,0,0.0,3.414213562373095,1.0,1.0,0,0,0,0.0,2.23606797749979,0.0,0.0,0.0,0.0,2.23606797749979,0.0
27,Nordic Championships,2001.08.04,0-1,"Gabrielsen,S",Black,7.0,3.0,3.414213562373095,2.0,3.414213562373095,0,0,2.414213562373095,16.0,2.23606797749979,9.071067811865476,9.485281374238571,3.414213562373095,2.8284271247461903,17.88854381999832,16.242640687119284
28,Nordic Championships,2001.08.05,1/2-1/2,"Thorhallsson,T",White,1.0,1.4142135623730951,3.414213562373095,4.414213562373095,3.0,2.0,0,4.414213562373095,2.0,4.47213595499958,2.8284271247461903,44.18376618407356,12.828427124746192,4.242640687119285,6.708203932499369,10.0
29,Nordic Championships,2001.08.06,1-0,"Nilssen,J",Black,19.0,3.0,2.0,10.414213562373096,1.0,6.0,1.0,0,34.0,8.94427190999916,15.142135623730955,3.414213562373095,6.0,4.242640687119286,11.180339887498949,36.0
30,Nordic Championships,2001.08.07,0-1,"Miellet Bensan,Y",White,2.0,0.0,3.414213562373095,2.0,3.414213562373095,2.0,2.0,3.0,15.0,4.47213595499958,7.0710678118654755,8.65685424949238,10.242640687119286,2.8284271247461903,13.416407864998739,26.0
31,Nordic Championships,2001.08.08,1/2-1/2,"Stokke,K",Black,2.0,0.0,2.0,1.0,0.0,0,1.0,0,1.0,2.23606797749979,1.4142135623730951,0.0,2.0,1.4142135623730951,4.47213595499958,2.0
32,Nordic Championships,2001.08.09,1/2-1/2,"Hersvik,D",Black,3.0,4.414213562373095,3.0,3.414213562373095,2.414213562373095,4.0,1.4142135623730951,8.071067811865476,26.12461179749811,4.47213595499958,26.870057685088813,14.899494936611667,13.071067811865476,11.313708498984763,19.41640786499874,17.242640687119284
33,Nordic Championships,2001.08.10,0-1,"Plachkinova,T",White,2.0,1.4142135623730951,2.0,3.414213562373095,2.0,2.414213562373095,0,3.0,5.0,2.23606797749979,24.04163056034262,13.899494936611667,6.82842712474619,21.213203435596427,4.47213595499958,7.0
34,Nordic Championships,2001.08.11,1-0,"Weighell,M",Black,0,0.0,5.414213562373095,2.0,3.0,2.0,0,0,0.0,4.47213595499958,16.899494936611667,9.82842712474619,2.0,9.899494936611665,6.708203932499369,2.0
35,Nordic Championships,2001.08.12,1-0,"Flaata,A",White,0,3.414213562373095,3.0,4.0,3.414213562373095,1.0,1.0,0,12.0,6.708203932499369,7.0710678118654755,8.65685424949238,4.0,1.4142135623730951,15.652475842498529,11.0
36,ECC,2001.09.23,1/2-1/2,"Stojanovski,D",White,0,0.0,3.414213562373095,2.0,1.0,0,1.0,0,2.0,2.23606797749979,4.242640687119286,16.485281374238568,2.0,1.4142135623730951,6.708203932499369,4.0
37,ECC,2001.09.24,1-0,"Banas,J",Black,21.0,4.0,3.414213562373095,1.0,0.0,1.0,4.414213562373095,0,26.0,32.75640720246148,4.242640687119286,23.970562748477143,5.0,28.899494936611667,31.41640786499874,47.0
38,ECC,2001.09.25,1-0,"Scheffknecht,P",White,2.414213562373095,0.0,4.414213562373095,2.0,2.0,3.414213562373095,2.0,1.0,13.0,4.47213595499958,9.899494936611665,35.55634918610404,5.0,16.970562748477143,13.416407864998739,8.0
39,ECC,2001.09.26,1/2-1/2,"Reynolds,Pat",Black,0,0.0,3.414213562373095,2.0,3.414213562373095,0,1.0,0,0.0,2.23606797749979,2.8284271247461903,8.242640687119286,2.0,1.4142135623730951,11.180339887498949,2.0
40,ECC,2001.09.27,1-0,"Indrebo,Kyrre",White,0,1.0,3.0,3.414213562373095,1.0,0,1.0,1.4142135623730951,26.0,4.47213595499958,5.656854249492381,3.0,4.0,18.384776310850235,4.47213595499958,7.0
41,ECC,2001.09.28,1/2-1/2,"Kouvatsou,M",Black,1.0,1.4142135623730951,3.82842712474619,9.071067811865476,2.0,0,1.0,2.0,9.0,10.72134935173836,5.65685424949238,10.485281374238571,4.414213562373095,9.899494936611667,4.47213595499958,5.0
42,ECC,2001.09.29,0-1,"Clements,Shannon",Black,2.0,3.0,7.8863495173726745,2.0,12.0,3.0,2.0,2.414213562373095,6.0,4.47213595499958,30.071067811865476,5.242640687119286,11.656854249492381,41.012193308819754,2.23606797749979,26.0
43,5th OIBM,2001.10.27,1-0,"Kacheishvili,G",Black,1.0,9.414213562373096,2.0,2.0,24.0,4.0,14.830621427371835,3.0,31.0,22.88854381999832,5.656854249492381,4.242640687119285,13.485281374238571,9.899494936611665,2.23606797749979,44.0
44,5th OIBM,2001.11.03,1/2-1/2,"Wachinger,G",White,0,0.0,0.0,2.0,2.0,2.0,0,0,4.0,6.708203932499369,1.4142135623730951,1.4142135623730951,2.0,2.8284271247461903,8.94427190999916,2.0
45,TCh-NOR Qualifier,2001.??.??,0-1,"Gaasland,Glenn",Black,0,4.82842712474619,2.0,9.65685424949238,8.65685424949238,0,0,1.0,3.0,2.23606797749979,1.4142135623730951,6.65685424949238,2.0,15.142135623730953,6.708203932499369,4.0
46,TCh-NOR Qualifier,2001.??.??,1-0,"Ribbegren,Carl",Black,0,1.0,3.414213562373095,2.0,2.0,6.82842712474619,0,1.0,0.0,8.94427190999916,8.485281374238571,3.8284271247461903,4.82842712474619,9.899494936611665,6.708203932499369,4.0
47,TCh-NOR Qualifier,2001.??.??,0-1,"Andersen,Ru",Black,0,1.0,4.414213562373095,9.071067811865476,2.0,1.0,0,0,3.0,8.122417494872465,24.14213562373095,13.82842712474619,3.0,7.0710678118654755,13.416407864998739,18.0
48,Troll Masters,2002.01.04,0-1,"Egeland,Marte",Black,0,3.8284271247461903,5.650281539872885,2.0,3.0,4.414213562373095,1.0,0,5.0,2.23606797749979,1.4142135623730951,5.82842712474619,4.414213562373095,1.4142135623730951,4.47213595499958,6.0
