month,all,coal,natural_gas,nuclear,conventional_hydroelectric
5-Jan,343121.4534,177013.9066,51337.62707,69828.239,24272.16485
4-Dec,341947.9634,176755.2015,51309.56547,68616.627,26210.71849
4-Nov,302101.2562,157435.9942,49693.03398,58940.863,20937.04438
4-Oct,312450.2229,157605.0954,57228.81399,62530.352,18862.7954
4-Sep,335622.1979,164252.9233,67853.99334,65932.057,20525.26137
4-Aug,368439.0371,178181.3426,77820.68835,71068.483,21591.96742
4-Jul,377331.6971,181491.8206,79290.02224,71975.04,23318.27953
4-Jun,345085.0788,167641.9063,64685.66904,67734.073,25252.34503
4-May,327380.2636,157016.3772,62021.80807,64917.412,24019.71812
4-Apr,290559.9142,141470.9562,51821.98826,58620.255,20887.97481
4-Mar,308812.0955,154288.4192,49801.1869,63285.116,22914.28123
4-Feb,314279.9095,161503.0922,50319.87478,64101.949,20913.61671
4-Jan,346545.627,180657.4205,48253.37213,70806.16,22983.30588
3-Dec,331680.43,176291.473,44034.895,68611.699,24044.33
3-Nov,297866.711,158223.194,45327.919,59600.02,19715.265
3-Oct,306740.933,159322.942,51824.169,60016.207,18428.423
3-Sep,323135.534,164910.002,59089.943,63583.645,18480.455
3-Aug,381816.319,185331.823,83249.694,69023.878,22972.03
3-Jul,374396.05,181852.318,76938.278,69652.754,24843.095
3-Jun,328693.698,162284.63,54452.951,64180.727,28586.3
3-May,307544.887,150262.977,49372.963,62201.96,29395.256
3-Apr,285755.699,141959.981,45195.383,56775.591,24758.962
3-Mar,304317.265,155001.775,46699.026,59933.261,24202.273
3-Feb,299248.777,156982.481,43546.573,60941.869,19779.86
3-Jan,341988.901,181313.153,50175.746,69211.084,20600.079
2-Dec,324833.705,172189.765,46100.393,68905.472,21668.54
2-Nov,296289.561,156053.655,45160.876,61520.324,19730.029
2-Oct,307059.46,159099.294,54200.82,60493.052,17171.334
2-Sep,331279.434,165366.309,68161.131,64480.79,17086.782
2-Aug,374585.819,179955.447,84476.867,70777.688,21083.924
2-Jul,381542.107,183194.702,83917.269,70420.827,25470.647
2-Jun,341023.144,164667.695,65631.018,66371.896,28212.847
2-May,307674.569,151406.401,50275.237,63032.192,26662.695
2-Apr,289848.253,142304.595,49146.409,58437.062,24246.605
2-Mar,302549.011,151485.651,51214.464,63040.647,21008.813
2-Feb,281825.712,143048.822,44308.431,61658.274,20191.683
2-Jan,319941.476,164358.018,48412.832,70925.863,21794.932
1-Dec,305496.328,157402.35,47540.861,67430.878,19346.314
1-Nov,278933.942,144116.998,44490.622,62341.711,15412.929
1-Oct,294733.613,148930.816,56376.441,60460.967,15234.503
1-Sep,306928.866,154158.317,60181.14,63378.451,15256.027
1-Aug,370532.828,183116.073,78409.804,68389.496,18913.768
1-Jul,357613.7,179060.41,73030.142,69166.04,18079.119
1-Jun,327693.978,162615.804,57603.154,68023.098,20727.63
1-May,300491.621,151592.914,50934.205,61512.445,19175.635
1-Apr,278078.871,140670.654,45842.746,56003.026,18012.994
1-Mar,300706.544,155269.011,44364.414,62140.712,20477.189
1-Feb,282940.198,149735.484,37966.927,61272.407,17472.889
1-Jan,332493.16,177287.111,42388.663,68707.077,18852.048
