Sector,Year,Sex,EarningsGel,Total
Transportation and storage,2016,Male,1235.80,1155.5
Accommodation and food service activities,2016,Male,747.90,625.6
Information and communication,2016,Male,1487.30,1339
Financial and insurance activities,2016,Male,2669.70,1834.9
Real estate activities,2016,Male,1122.70,1016.6
"Professional, scientific and technical activities",2016,Male,1460.70,1463.6
Administrative and support service activities,2016,Male,830.80,739.6
Public administration and defence; compulsory social security,2016,Male,1276.20,1254.7
Education,2016,Male,599.30,534.2
Human health and social work activities,2016,Male,1253.30,914.6
"Arts, entertainment and recreation",2016,Male,964.00,833.7
Other service activities,2016,Male,1001.90,729.6
Total,2017,Female,770.20,999.1
"Agriculture, forestry and fishing",2017,Female,617.00,642.8
Mining and quarrying,2017,Female,1191.80,1260.4
Manufacturing,2017,Female,629.00,868.1
"Electricity, gas, steam and air conditioning supply",2017,Female,1514.00,1414.1
"Water supply, sewerage, waste management and remediation activities",2017,Female,664.30,753.4
Construction,2017,Female,949.50,1465.7
Wholesale and retail trade; repair of motor vehicles and motorcycles,2017,Female,633.00,844.2
Transportation and storage,2017,Female,847.20,1238.1
Accommodation and food service activities,2017,Female,592.40,671.9
Information and communication,2017,Female,1185.10,1425.7
Financial and insurance activities,2017,Female,1394.70,2008.3
Real estate activities,2017,Female,764.60,1093.3
"Professional, scientific and technical activities",2017,Female,1498.70,1594.5
Administrative and support service activities,2017,Female,627.80,767.9
Public administration and defence; compulsory social security,2017,Female,1185.70,1236.1
Education,2017,Female,559.00,577
Human health and social work activities,2017,Female,831.30,953.3
"Arts, entertainment and recreation",2017,Female,754.70,876.9
Other service activities,2017,Female,625.10,685.5
Total,2017,Male,1197.40,999.1
"Agriculture, forestry and fishing",2017,Male,651.20,642.8
Mining and quarrying,2017,Male,1268.30,1260.4
Manufacturing,2017,Male,994.70,868.1
"Electricity, gas, steam and air conditioning supply",2017,Male,1391.70,1414.1
"Water supply, sewerage, waste management and remediation activities",2017,Male,789.80,753.4
Construction,2017,Male,1523.20,1465.7
Wholesale and retail trade; repair of motor vehicles and motorcycles,2017,Male,1034.00,844.2
Transportation and storage,2017,Male,1362.80,1238.1
Accommodation and food service activities,2017,Male,785.30,671.9
Information and communication,2017,Male,1592.20,1425.7
Financial and insurance activities,2017,Male,3024.60,2008.3
Real estate activities,2017,Male,1283.60,1093.3
"Professional, scientific and technical activities",2017,Male,1671.60,1594.5
Administrative and support service activities,2017,Male,844.40,767.9
Public administration and defence; compulsory social security,2017,Male,1256.30,1236.1
Education,2017,Male,637.90,577
Human health and social work activities,2017,Male,1289.10,953.3
"Arts, entertainment and recreation",2017,Male,992.10,876.9
Other service activities,2017,Male,780.90,685.5
Total,2018,Female,822.60,1068.3
