Name in English,Degree of endangerment,Number of speakers,Latitude,Longitude,Countries
Bashkir,Vulnerable,1379727,54.7309,55.9863,Russia
Chechen,Vulnerable,1331844,43.1971,45.7031,Russia
Chuvash,Vulnerable,1325382,56.1394,47.2412,Russia
Meithei,Vulnerable,1250000,24.7667,93.8946,India
Tamang,Vulnerable,1196639,27.7365,85.6858,"India, Nepal"
Quechua of Cuzco,Vulnerable,1115000,-13.4537,-72.0098,Peru
Eastern Slovak,Vulnerable,1000000,48.8068,21.7968,"Slovakia, Ukraine"
Ligurian,Definitely endangered,1000000,44.5748,8.7011,"France, Italy, Monaco"
Rusyn,Vulnerable,1000000,48.4437,22.9394,"Hungary, Poland, Romania, Slovakia, Ukraine"
Talysh,Vulnerable,1000000,38.814,48.6804,"Azerbaijan, Iran"
Kui,Vulnerable,916222,19.5908,83.9575,India
Khasi,Vulnerable,912000,25.691,91.8676,India
Bodo,Vulnerable,900000,26.7554,92.8674,India
Campidanese,Definitely endangered,900000,39.2991,8.9868,Italy
K'iche' (Guatemala),Vulnerable,890596,15.0309,-91.1485,Guatemala
Quechua of Ayacucho,Definitely endangered,850000,-13.1276,-74.2071,Peru
Newar,Definitely endangered,825458,27.6981,85.3198,Nepal
Mon,Vulnerable,800000,16.4666,97.7833,"Myanmar, Thailand"
Polesian,Vulnerable,800000,51.8629,23.9501,"Belarus, Poland, Ukraine"
Tamaceq,Definitely endangered,800000,16.7992,-3.0102,Mali
Avar,Vulnerable,784840,42.4801,46.8017,Russia
Mundari,Vulnerable,750000,22.3297,86.0449,India
Welsh,Vulnerable,750000,52.4459,-3.5485,United Kingdom of Great Britain and Northern Ireland
Angika,Vulnerable,740892,24.7451,85.3124,"India, Nepal"
Q'eqchi' (Guatemala),Vulnerable,716101,15.4707,-90.3722,Guatemala
Picard,Severely endangered,700000,50.2331,2.7905,"Belgium, France"
Kokborok,Vulnerable,695000,23.7752,91.6918,"Bangladesh, India"
Basque,Vulnerable,660000,43.133,-2.0764,"Spain, France"
Kabard-Cherkes,Vulnerable,650000,43.7393,43.4289,"Russia, Turkey"
Mandeali,Definitely endangered,611930,31.4099,76.9921,India
Friulian,Definitely endangered,600000,46.1037,13.1396,Italy
Quechua of Ancash and Huánuco,Definitely endangered,600000,-9.4598,-77.1789,Peru
Walloon,Definitely endangered,600000,50.4575,4.8559,"Belgium, France, Luxembourg"
Mising,Definitely endangered,550000,26.9612,94.0539,India
Ossete,Vulnerable,550000,42.9564,44.4946,"Georgia, Russia"
Mizo,Vulnerable,529000,22.9988,92.9223,India
Dargwa,Vulnerable,503523,42.1145,47.4938,Russia
Aromanian,Definitely endangered,500000,40.2292,21.1376,"Albania, Bulgaria, Greece, Macedonia, Serbia"
Brahui,Vulnerable,500000,29.0369,66.5826,"Iran, Pakistan, Afghanistan"
Languedocian,Severely endangered,500000,43.8899,2.5378,France
Lezgian,Vulnerable,500000,41.4921,48.0541,"Azerbaijan, Russia"
Mahasui,Definitely endangered,496024,31.2738,77.1295,India
Magar,Definitely endangered,489383,28.0816,83.4301,Nepal
Mam (Guatemala),Vulnerable,477717,14.9305,-91.9078,Guatemala
Udmurt,Definitely endangered,463837,57.2315,52.8662,Russia
Huasteca Náhuatl,Vulnerable,463183,21.3835,-98.9902,Mexico
Kumyk,Vulnerable,458121,43.397,46.9775,Russia
Yakut,Vulnerable,456288,62.3496,130.8691,Russia
Kaqchikel (Guatemala),Vulnerable,444954,14.7814,-90.7925,Guatemala
Karbi,Vulnerable,420000,26.2934,93.2299,India
Eastern Mari,Definitely endangered,414211,56.632,47.8784,Russia
Ingush,Vulnerable,405343,43.145,45.1043,Russia
Erzya,Definitely endangered,400000,54.1302,45.4394,Russia
Ho,Vulnerable,400000,21.637,86.4404,India
Judezmo (Israel),Severely endangered,400000,32.0872,34.7737,Israel
Lalo,Vulnerable,400000,25.383,99.9426,China
Limousin,Severely endangered,400000,46.0579,1.8017,France
Logudorese,Definitely endangered,400000,40.1116,9.1845,Italy
Mapuche (Chile),Definitely endangered,400000,-38.5653,-73.081,Chile
Central Náhuatl,Vulnerable,395581,19.191,-99.0236,Mexico
Moselle Franconian,Vulnerable,390000,49.6071,6.1248,"Germany, Belgium, France, Luxembourg"
Bantawa,Vulnerable,371056,27.0994,87.0048,Nepal
Santa,Vulnerable,360000,35.5411,102.7935,China
Mingrelian,Definitely endangered,350000,42.4599,41.7205,Georgia
West Frisian,Vulnerable,350000,53.1006,5.6579,Netherlands
Gurung,Definitely endangered,338925,28.275,84.1782,Nepal
Guajiro,Vulnerable,318500,11.8673,-71.9824,"Colombia, Venezuela"
Karachay-Balkar,Vulnerable,302748,44.2137,42.8466,Russia
Adyge,Vulnerable,300000,44.9181,39.7485,"Iraq, Israel, Jordan, Macedonia, Russia, Syria, Turkey"
Buryat (Trans-Baikal),Definitely endangered,300000,50.8336,109.5117,Russia
Kurru,Definitely endangered,300000,16.6151,81.6284,India
Kuvi,Definitely endangered,300000,18.9478,83.5839,India
Limbu,Definitely endangered,300000,27.096,87.7356,"India, Nepal"
Moroccan Judeo-Arabic (Israel),Definitely endangered,300000,32.0476,34.7552,Israel
Plautdietsch,Definitely endangered,300000,47.0738,35.5545,Ukraine
Pontic Greek,Definitely endangered,300000,40.847,40.0149,"Armenia, Georgia, Greece, Russia, Turkey, Ukraine"
"Quichua (Cotopaxi, Tungurahua and Chimborazo)",Definitely endangered,300000,-1.8673,-78.9257,Ecuador
Waxiang,Vulnerable,300000,28.5652,110.3576,China
Oyrat,Definitely endangered,280000,46.195,88.7255,"China, Kyrgyzstan, Mongolia"
Garhwali,Vulnerable,279500,30.0976,79.1235,India
Bade,Vulnerable,250000,12.801,11.1181,Nigeria
Breton,Severely endangered,250000,48.2246,-3.9331,France
Gascon,Definitely endangered,250000,43.1811,-0.1428,"Spain, France"
Phula (China),Vulnerable,250000,22.6001,104.0004,China
Sora,Vulnerable,250000,19.1244,83.2104,India
Konyak,Vulnerable,248000,26.9367,95.1745,India
Ao,Vulnerable,243000,26.4361,94.6472,India
Tuvan,Vulnerable,242754,51.7134,94.3945,"China, Mongolia, Russia"
Nafusi,Severely endangered,240000,32.6393,13.4252,Libya
