Country,Status,Languages
Sudan,Extinct,6
Ecuador,Severely endangered,5
New Caledonia,Definitely endangered,5
Denmark,Vulnerable,2
United Kingdom of Great Britain and Northern Ireland,Critically endangered,2
Turkey,Extinct,3
Mexico,Vulnerable,52
Greenland,Definitely endangered,2
Turkey,Critically endangered,1
Sudan,Severely endangered,23
Israel,Critically endangered,1
Solomon Is.,Vulnerable,4
Panama,Vulnerable,3
Vanuatu,Extinct,3
Philippines,Vulnerable,2
Ghana,Critically endangered,1
Afghanistan,Severely endangered,6
Chile,Critically endangered,3
Argentina,Extinct,4
Timor-Leste,Critically endangered,1
Niue,Definitely endangered,1
United States of America,Severely endangered,45
Vietnam,Definitely endangered,16
Japan,Severely endangered,2
Lebanon,Severely endangered,1
Solomon Is.,Critically endangered,4
El Salvador,Extinct,1
Paraguay,Critically endangered,2
Argentina,Definitely endangered,5
Nigeria,Definitely endangered,2
Sweden,Definitely endangered,4
China,Definitely endangered,51
Italy,Definitely endangered,22
Angola,Definitely endangered,1
Indonesia,Severely endangered,19
Uganda,Critically endangered,1
Dem. Rep. Congo,Extinct,1
Slovenia,Vulnerable,1
Norway,Severely endangered,3
Venezuela,Critically endangered,8
Latvia,Extinct,1
Macedonia,Vulnerable,2
Tuvalu,Definitely endangered,1
Afghanistan,Critically endangered,2
Croatia,Vulnerable,1
Turkey,Definitely endangered,7
Syria,Definitely endangered,3
Paraguay,Severely endangered,4
Lithuania,Vulnerable,1
Poland,Vulnerable,4
Mauritania,Critically endangered,1
Algeria,Vulnerable,4
Spain,Vulnerable,1
Malaysia,Extinct,3
Guatemala,Severely endangered,1
Lesotho,Definitely endangered,1
Philippines,Severely endangered,3
United States of America,Critically endangered,84
Moldova,Definitely endangered,2
Panama,Definitely endangered,3
Gabon,Definitely endangered,4
Mali,Definitely endangered,2
Romania,Definitely endangered,3
San Marino,Definitely endangered,1
Chile,Severely endangered,1
Mongolia,Definitely endangered,3
Montenegro,Definitely endangered,1
Mongolia,Vulnerable,1
Kyrgyzstan,Definitely endangered,2
Solomon Is.,Definitely endangered,3
Nigeria,Vulnerable,3
Ukraine,Definitely endangered,6
Switzerland,Severely endangered,1
Cameroon,Extinct,4
Congo,Severely endangered,1
Central African Rep.,Severely endangered,1
Australia,Critically endangered,42
Turkey,Vulnerable,4
Peru,Definitely endangered,18
Guyana,Severely endangered,1
United States of America,Vulnerable,14
Germany,Vulnerable,7
Eq. Guinea,Definitely endangered,3
India,Definitely endangered,63
Bangladesh,Definitely endangered,1
Bulgaria,Definitely endangered,2
Belgium,Severely endangered,3
Ireland,Extinct,1
Bosnia and Herz.,Severely endangered,1
Ecuador,Extinct,2
Botswana,Critically endangered,3
Chile,Definitely endangered,1
Sweden,Critically endangered,2
Chad,Severely endangered,11
Ethiopia,Extinct,4
Bolivia,Vulnerable,6
Hungary,Extinct,1
Burkina Faso,Definitely endangered,1
Brazil,Vulnerable,97
Spain,Extinct,2
Armenia,Definitely endangered,2
Pakistan,Definitely endangered,14
Ireland,Definitely endangered,1
Palau,Severely endangered,1
Senegal,Severely endangered,2
Portugal,Definitely endangered,1
Belarus,Vulnerable,2
Cameroon,Definitely endangered,3
Iran,Extinct,2
New Zealand,Vulnerable,1
Ethiopia,Vulnerable,8
Colombia,Extinct,4
Palestine,Severely endangered,1
Yemen,Definitely endangered,2
Angola,Extinct,3
Honduras,Critically endangered,3
Guatemala,Critically endangered,2
India,Critically endangered,42
Brazil,Extinct,12
Ecuador,Critically endangered,2
Mexico,Severely endangered,32
Senegal,Critically endangered,2
Niger,Severely endangered,1
Mexico,Definitely endangered,38
Brazil,Definitely endangered,17
Albania,Vulnerable,1
Sierra Leone,Extinct,2
Chile,Vulnerable,1
Solomon Is.,Extinct,4
Israel,Severely endangered,8
Luxembourg,Vulnerable,1
Argentina,Severely endangered,4
Central African Rep.,Critically endangered,2
Russia,Extinct,24
Laos,Critically endangered,2
New Caledonia,Vulnerable,8
Honduras,Vulnerable,2
Papua New Guinea,Severely endangered,30
United Kingdom of Great Britain and Northern Ireland,Vulnerable,2
Vietnam,Critically endangered,3
Bolivia,Extinct,4
Chile,Extinct,1
Panama,Severely endangered,2
Tajikistan,Definitely endangered,4
France,Severely endangered,13
Sri Lanka,Definitely endangered,1
Honduras,Severely endangered,2
Indonesia,Critically endangered,32
Mauritania,Severely endangered,1
Serbia,Definitely endangered,4
Kazakhstan,Definitely endangered,1
Azerbaijan,Vulnerable,2
Canada,Severely endangered,17
Sudan,Vulnerable,6
Myanmar,Vulnerable,3
Bulgaria,Critically endangered,1
New Caledonia,Critically endangered,2
Greenland,Vulnerable,1
Peru,Extinct,5
Mauritania,Definitely endangered,1
Ethiopia,Definitely endangered,7
Thailand,Severely endangered,4
Tajikistan,Vulnerable,1
Ecuador,Vulnerable,1
Lebanon,Definitely endangered,1
Philippines,Critically endangered,4
Iran,Vulnerable,4
Guatemala,Vulnerable,13
Sudan,Critically endangered,14
Belgium,Vulnerable,3
Switzerland,Vulnerable,2
South Africa,Extinct,7
France,Definitely endangered,8
Pitcairn Is.,Vulnerable,1
Austria,Definitely endangered,3
Indonesia,Vulnerable,56
Myanmar,Definitely endangered,7
Nicaragua,Extinct,3
United Kingdom of Great Britain and Northern Ireland,Extinct,2
Nicaragua,Severely endangered,2
Lithuania,Definitely endangered,2
Argentina,Critically endangered,2
Croatia,Severely endangered,4
Sweden,Severely endangered,2
Uzbekistan,Definitely endangered,2
United States of America,Extinct,54
Guam,Vulnerable,1
Egypt,Severely endangered,1
Ukraine,Extinct,2
Nauru,Severely endangered,2
Greece,Severely endangered,4
Georgia,Vulnerable,2
Egypt,Definitely endangered,1
Kenya,Definitely endangered,2
Canada,Extinct,2
Tunisia,Severely endangered,1
Costa Rica,Critically endangered,3
Micronesia,Severely endangered,9
Lithuania,Severely endangered,1
Venezuela,Vulnerable,12
Ethiopia,Severely endangered,3
Sudan,Definitely endangered,16
Paraguay,Vulnerable,1
Honduras,Extinct,1
Cameroon,Severely endangered,13
Panama,Extinct,1
New Caledonia,Extinct,1
Thailand,Extinct,1
Micronesia,Critically endangered,1
Guyana,Definitely endangered,2
Togo,Extinct,1
United Kingdom of Great Britain and Northern Ireland,Severely endangered,2
Myanmar,Severely endangered,8
Iraq,Extinct,3
Bangladesh,Vulnerable,3
Papua New Guinea,Extinct,10
Libya,Severely endangered,3
Suriname,Severely endangered,2
Jordan,Vulnerable,1
Monaco,Definitely endangered,1
Macedonia,Definitely endangered,2
Azerbaijan,Extinct,1
Dominica,Extinct,1
Peru,Critically endangered,15
India,Severely endangered,6
Cambodia,Severely endangered,8
Oman,Severely endangered,4
Malaysia,Critically endangered,8
Morocco,Extinct,2
Vietnam,Severely endangered,4
Russia,Definitely endangered,50
Dem. Rep. Congo,Vulnerable,1
Libya,Definitely endangered,1
Cook Is.,Vulnerable,1
Denmark,Definitely endangered,2
Spain,Definitely endangered,3
Russia,Critically endangered,22
Ukraine,Vulnerable,4
Australia,Vulnerable,17
Tunisia,Critically endangered,1
Austria,Vulnerable,2
Belarus,Definitely endangered,2
Congo,Definitely endangered,1
Tunisia,Extinct,1
Albania,Definitely endangered,2
Switzerland,Definitely endangered,5
Colombia,Vulnerable,13
Georgia,Severely endangered,4
China,Severely endangered,20
Paraguay,Definitely endangered,5
Indonesia,Definitely endangered,30
Latvia,Critically endangered,1
Pakistan,Severely endangered,6
Germany,Definitely endangered,4
Vanuatu,Definitely endangered,10
Romania,Vulnerable,2
Namibia,Definitely endangered,1
Sierra Leone,Severely endangered,1
Fiji,Vulnerable,1
Turkey,Severely endangered,3
Kenya,Severely endangered,1
Iran,Severely endangered,2
Palau,Critically endangered,1
San Marino,TOTAL,1
Sierra Leone,TOTAL,5
Portugal,TOTAL,1
Mongolia,TOTAL,7
Jordan,TOTAL,2
Monaco,TOTAL,1
Botswana,TOTAL,11
Ukraine,TOTAL,17
Russia,TOTAL,148
Moldova,TOTAL,2
Suriname,TOTAL,8
Austria,TOTAL,5
Nepal,TOTAL,71
Thailand,TOTAL,26
Turkey,TOTAL,18
Japan,TOTAL,8
Peru,TOTAL,62
Morocco,TOTAL,8
Tanzania,TOTAL,12
Solomon Is.,TOTAL,18
Belarus,TOTAL,4
Bosnia and Herz.,TOTAL,2
Norway,TOTAL,6
Israel,TOTAL,13
Fr. Polynesia,TOTAL,4
Vietnam,TOTAL,28
Namibia,TOTAL,1
