Country,Name,Status,Speakers,Latitude,Longitude
Guatemala,K'iche' (Guatemala),Vulnerable,890596,15.0309,-91.1485
Peru,Quechua of Ayacucho,Definitely endangered,850000,-13.1276,-74.2071
Nepal,Newar,Definitely endangered,825458,27.6981,85.3198
Myanmar,Mon,Vulnerable,800000,16.4666,97.7833
Thailand,Mon,Vulnerable,800000,16.4666,97.7833
Belarus,Polesian,Vulnerable,800000,51.8629,23.9501
Poland,Polesian,Vulnerable,800000,51.8629,23.9501
Ukraine,Polesian,Vulnerable,800000,51.8629,23.9501
Mali,Tamaceq,Definitely endangered,800000,16.7992,-3.0102
Russia,Avar,Vulnerable,784840,42.4801,46.8017
India,Mundari,Vulnerable,750000,22.3297,86.0449
United Kingdom of Great Britain and Northern Ireland,Welsh,Vulnerable,750000,52.4459,-3.5485
India,Angika,Vulnerable,740892,24.7451,85.3124
Nepal,Angika,Vulnerable,740892,24.7451,85.3124
Guatemala,Q'eqchi' (Guatemala),Vulnerable,716101,15.4707,-90.3722
Belgium,Picard,Severely endangered,700000,50.2331,2.7905
France,Picard,Severely endangered,700000,50.2331,2.7905
Bangladesh,Kokborok,Vulnerable,695000,23.7752,91.6918
India,Kokborok,Vulnerable,695000,23.7752,91.6918
Spain,Basque,Vulnerable,660000,43.133,-2.0764
France,Basque,Vulnerable,660000,43.133,-2.0764
Russia,Kabard-Cherkes,Vulnerable,650000,43.7393,43.4289
Turkey,Kabard-Cherkes,Vulnerable,650000,43.7393,43.4289
India,Mandeali,Definitely endangered,611930,31.4099,76.9921
Italy,Friulian,Definitely endangered,600000,46.1037,13.1396
Peru,Quechua of Ancash and Huánuco,Definitely endangered,600000,-9.4598,-77.1789
Belgium,Walloon,Definitely endangered,600000,50.4575,4.8559
France,Walloon,Definitely endangered,600000,50.4575,4.8559
Luxembourg,Walloon,Definitely endangered,600000,50.4575,4.8559
India,Mising,Definitely endangered,550000,26.9612,94.0539
Georgia,Ossete,Vulnerable,550000,42.9564,44.4946
Russia,Ossete,Vulnerable,550000,42.9564,44.4946
India,Mizo,Vulnerable,529000,22.9988,92.9223
Russia,Dargwa,Vulnerable,503523,42.1145,47.4938
Albania,Aromanian,Definitely endangered,500000,40.2292,21.1376
Bulgaria,Aromanian,Definitely endangered,500000,40.2292,21.1376
Greece,Aromanian,Definitely endangered,500000,40.2292,21.1376
Macedonia,Aromanian,Definitely endangered,500000,40.2292,21.1376
Serbia,Aromanian,Definitely endangered,500000,40.2292,21.1376
Iran,Brahui,Vulnerable,500000,29.0369,66.5826
Pakistan,Brahui,Vulnerable,500000,29.0369,66.5826
Afghanistan,Brahui,Vulnerable,500000,29.0369,66.5826
France,Languedocian,Severely endangered,500000,43.8899,2.5378
Azerbaijan,Lezgian,Vulnerable,500000,41.4921,48.0541
Russia,Lezgian,Vulnerable,500000,41.4921,48.0541
India,Mahasui,Definitely endangered,496024,31.2738,77.1295
Nepal,Magar,Definitely endangered,489383,28.0816,83.4301
Guatemala,Mam (Guatemala),Vulnerable,477717,14.9305,-91.9078
Russia,Udmurt,Definitely endangered,463837,57.2315,52.8662
Mexico,Huasteca Náhuatl,Vulnerable,463183,21.3835,-98.9902
Russia,Kumyk,Vulnerable,458121,43.397,46.9775
Russia,Yakut,Vulnerable,456288,62.3496,130.8691
Guatemala,Kaqchikel (Guatemala),Vulnerable,444954,14.7814,-90.7925
India,Karbi,Vulnerable,420000,26.2934,93.2299
Russia,Eastern Mari,Definitely endangered,414211,56.632,47.8784
Russia,Ingush,Vulnerable,405343,43.145,45.1043
Russia,Erzya,Definitely endangered,400000,54.1302,45.4394
India,Ho,Vulnerable,400000,21.637,86.4404
